name,d,Toffoli,CNOT,1-qubit
perm,1,66.0,34.0,127.0
oldcount,1,56.0,16.0,35.0
optcount,1,56.0,16.0,35.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.1785714285714286,2.125,3.6285714285714286
perm,1,66.0,30.0,121.0
oldcount,1,50.0,12.0,45.0
optcount,1,50.0,12.0,45.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.32,2.5,2.688888888888889
perm,1,66.0,26.0,115.0
oldcount,1,68.0,10.0,69.0
optcount,1,68.0,10.0,69.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9705882352941176,2.6,1.6666666666666667
perm,1,66.0,22.0,109.0
oldcount,1,42.0,8.0,47.0
optcount,1,42.0,8.0,47.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.5714285714285714,2.75,2.3191489361702127
perm,1,66.0,30.0,121.0
oldcount,1,70.0,12.0,65.0
optcount,1,70.0,12.0,65.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9428571428571428,2.5,1.8615384615384616
perm,1,66.0,30.0,121.0
oldcount,1,30.0,10.0,31.0
optcount,1,30.0,10.0,31.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,2.2,3.0,3.903225806451613
perm,1,66.0,26.0,115.0
oldcount,1,74.0,12.0,71.0
optcount,1,74.0,12.0,71.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8918918918918919,2.1666666666666665,1.619718309859155
perm,1,66.0,42.0,139.0
oldcount,1,98.0,20.0,51.0
optcount,1,98.0,20.0,51.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.673469387755102,2.1,2.7254901960784315
perm,1,66.0,22.0,109.0
oldcount,1,52.0,10.0,55.0
optcount,1,52.0,10.0,55.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.2692307692307692,2.2,1.981818181818182
perm,1,66.0,18.0,103.0
oldcount,1,62.0,8.0,69.0
optcount,1,62.0,8.0,69.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.064516129032258,2.25,1.4927536231884058
perm,1,66.0,18.0,103.0
oldcount,1,26.0,8.0,33.0
optcount,1,26.0,8.0,33.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,2.5384615384615383,2.25,3.121212121212121
perm,1,66.0,30.0,121.0
oldcount,1,48.0,10.0,49.0
optcount,1,48.0,10.0,49.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.375,3.0,2.4693877551020407
perm,1,66.0,34.0,127.0
oldcount,1,58.0,12.0,53.0
optcount,1,58.0,12.0,53.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.1379310344827587,2.8333333333333335,2.3962264150943398
perm,1,66.0,42.0,139.0
oldcount,1,90.0,18.0,55.0
optcount,1,90.0,18.0,55.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7333333333333333,2.3333333333333335,2.5272727272727273
perm,1,66.0,30.0,121.0
oldcount,1,60.0,10.0,61.0
optcount,1,60.0,10.0,61.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.1,3.0,1.9836065573770492
perm,1,66.0,30.0,121.0
oldcount,1,46.0,12.0,41.0
optcount,1,46.0,12.0,41.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.434782608695652,2.5,2.951219512195122
perm,1,66.0,30.0,121.0
oldcount,1,60.0,10.0,61.0
optcount,1,60.0,10.0,61.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.1,3.0,1.9836065573770492
perm,1,66.0,22.0,109.0
oldcount,1,76.0,12.0,77.0
optcount,1,76.0,12.0,77.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.868421052631579,1.8333333333333333,1.4155844155844155
perm,1,66.0,26.0,115.0
oldcount,1,46.0,8.0,51.0
optcount,1,46.0,8.0,51.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.434782608695652,3.25,2.2549019607843137
perm,1,66.0,26.0,115.0
oldcount,1,38.0,10.0,39.0
optcount,1,38.0,10.0,39.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.736842105263158,2.6,2.948717948717949
perm,1,66.0,38.0,133.0
oldcount,1,86.0,18.0,53.0
optcount,1,86.0,18.0,53.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7674418604651163,2.111111111111111,2.509433962264151
perm,1,66.0,34.0,127.0
oldcount,1,70.0,12.0,65.0
optcount,1,70.0,12.0,65.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9428571428571428,2.8333333333333335,1.9538461538461538
perm,1,66.0,26.0,115.0
oldcount,1,58.0,10.0,59.0
optcount,1,58.0,10.0,59.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.1379310344827587,2.6,1.9491525423728813
perm,1,66.0,30.0,121.0
oldcount,1,70.0,10.0,71.0
optcount,1,70.0,10.0,71.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9428571428571428,3.0,1.704225352112676
perm,1,66.0,22.0,109.0
oldcount,1,74.0,10.0,77.0
optcount,1,74.0,10.0,77.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8918918918918919,2.2,1.4155844155844155
perm,1,66.0,22.0,109.0
oldcount,1,20.0,6.0,27.0
optcount,1,20.0,6.0,27.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,3.3,3.6666666666666665,4.037037037037037
perm,1,66.0,30.0,121.0
oldcount,1,72.0,10.0,73.0
optcount,1,72.0,10.0,73.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9166666666666666,3.0,1.6575342465753424
perm,1,66.0,30.0,121.0
oldcount,1,108.0,20.0,79.0
optcount,1,108.0,20.0,79.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6111111111111112,1.5,1.5316455696202531
perm,1,66.0,22.0,109.0
oldcount,1,38.0,8.0,43.0
optcount,1,38.0,8.0,43.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.736842105263158,2.75,2.5348837209302326
perm,1,66.0,30.0,121.0
oldcount,1,50.0,10.0,51.0
optcount,1,50.0,10.0,51.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.32,3.0,2.372549019607843
perm,1,66.0,30.0,121.0
oldcount,1,62.0,10.0,63.0
optcount,1,62.0,10.0,63.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.064516129032258,3.0,1.9206349206349207
perm,1,66.0,26.0,115.0
oldcount,1,42.0,10.0,43.0
optcount,1,42.0,10.0,43.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.5714285714285714,2.6,2.6744186046511627
perm,1,66.0,38.0,133.0
oldcount,1,56.0,14.0,43.0
optcount,1,56.0,14.0,43.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.1785714285714286,2.7142857142857144,3.0930232558139537
perm,1,66.0,30.0,121.0
oldcount,1,34.0,10.0,35.0
optcount,1,34.0,10.0,35.0
opt_old,1,1.0,1.0,1.0
