name,d,Toffoli,CNOT,1-qubit
perm_opt,1,0.703125,2.625,1.542857142857143
perm,1,90.0,34.0,150.0
oldcount,1,84.0,12.0,79.0
optcount,1,84.0,12.0,79.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0714285714285714,2.8333333333333335,1.8987341772151898
perm,1,90.0,38.0,156.0
oldcount,1,82.0,14.0,69.0
optcount,1,82.0,14.0,69.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0975609756097562,2.7142857142857144,2.260869565217391
perm,1,90.0,42.0,162.0
oldcount,1,80.0,16.0,57.0
optcount,1,80.0,16.0,57.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.125,2.625,2.8421052631578947
perm,1,90.0,26.0,138.0
oldcount,1,36.0,8.0,41.0
optcount,1,36.0,8.0,41.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,2.5,3.25,3.3658536585365852
perm,1,90.0,42.0,162.0
oldcount,1,112.0,16.0,89.0
optcount,1,112.0,16.0,89.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8035714285714286,2.625,1.8202247191011236
perm,1,90.0,38.0,156.0
oldcount,1,108.0,14.0,95.0
optcount,1,108.0,14.0,95.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8333333333333334,2.7142857142857144,1.6421052631578947
perm,1,90.0,50.0,174.0
oldcount,1,124.0,20.0,75.0
optcount,1,124.0,20.0,75.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7258064516129032,2.5,2.32
perm,1,90.0,38.0,156.0
oldcount,1,102.0,14.0,89.0
optcount,1,102.0,14.0,89.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8823529411764706,2.7142857142857144,1.752808988764045
perm,1,90.0,38.0,156.0
oldcount,1,100.0,14.0,87.0
optcount,1,100.0,14.0,87.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9,2.7142857142857144,1.793103448275862
perm,1,90.0,58.0,186.0
oldcount,1,178.0,24.0,95.0
optcount,1,178.0,24.0,95.0
