name,n,Toffoli,CNOT,1-qubit
opt_old,4,0.7692307692307693,0.9,0.9272727272727272
perm_opt,4,3.4,3.2222222222222223,3.3137254901960786
perm,4,128.0,126.0,355.0
oldcount,4,32.0,24.0,67.0
optcount,4,6.0,10.0,30.0
opt_old,4,0.1875,0.4166666666666667,0.44776119402985076
perm_opt,4,21.333333333333332,12.6,11.833333333333334
perm,4,56.0,50.0,141.0
oldcount,4,22.0,16.0,49.0
optcount,4,6.0,10.0,33.0
opt_old,4,0.2727272727272727,0.625,0.673469387755102
perm_opt,4,9.333333333333334,5.0,4.2727272727272725
perm,4,122.0,120.0,333.0
oldcount,4,26.0,20.0,55.0
optcount,4,16.0,16.0,45.0
opt_old,4,0.6153846153846154,0.8,0.8181818181818182
perm_opt,4,7.625,7.5,7.4
perm,4,98.0,92.0,265.0
oldcount,4,26.0,20.0,59.0
optcount,4,10.0,14.0,41.0
opt_old,4,0.38461538461538464,0.7,0.6949152542372882
perm_opt,4,9.8,6.571428571428571,6.463414634146342
perm,4,104.0,94.0,275.0
oldcount,4,32.0,24.0,67.0
optcount,4,6.0,10.0,28.0
opt_old,4,0.1875,0.4166666666666667,0.417910447761194
perm_opt,4,17.333333333333332,9.4,9.821428571428571
perm,4,80.0,70.0,201.0
oldcount,4,36.0,26.0,73.0
optcount,4,10.0,12.0,34.0
opt_old,4,0.2777777777777778,0.46153846153846156,0.4657534246575342
perm_opt,4,8.0,5.833333333333333,5.911764705882353
perm,4,110.0,92.0,267.0
oldcount,4,32.0,24.0,67.0
optcount,4,20.0,16.0,46.0
opt_old,4,0.625,0.6666666666666666,0.6865671641791045
perm_opt,4,5.5,5.75,5.804347826086956
perm,4,98.0,96.0,265.0
oldcount,4,22.0,18.0,49.0
optcount,4,12.0,10.0,30.0
opt_old,4,0.5454545454545454,0.5555555555555556,0.6122448979591837
perm_opt,4,8.166666666666666,9.6,8.833333333333334
perm,4,104.0,98.0,279.0
oldcount,4,32.0,24.0,67.0
optcount,4,26.0,18.0,56.0
opt_old,4,0.8125,0.75,0.835820895522388
perm_opt,4,4.0,5.444444444444445,4.982142857142857
perm,4,104.0,98.0,273.0
oldcount,4,22.0,18.0,51.0
optcount,4,16.0,12.0,38.0
opt_old,4,0.7272727272727273,0.6666666666666666,0.7450980392156863
perm_opt,4,6.5,8.166666666666666,7.184210526315789
perm,4,122.0,128.0,349.0
oldcount,4,24.0,20.0,57.0
optcount,4,20.0,14.0,42.0
opt_old,4,0.8333333333333334,0.7,0.7368421052631579
perm_opt,4,6.1,9.142857142857142,8.30952380952381
perm,4,116.0,106.0,305.0
oldcount,4,36.0,26.0,73.0
optcount,4,24.0,22.0,61.0
opt_old,4,0.6666666666666666,0.8461538461538461,0.8356164383561644
perm_opt,4,4.833333333333333,4.818181818181818,5.0
perm,4,92.0,86.0,249.0
oldcount,4,30.0,22.0,65.0
optcount,4,30.0,22.0,65.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.066666666666667,3.909090909090909,3.830769230769231
perm,4,116.0,94.0,287.0
oldcount,4,30.0,22.0,65.0
optcount,4,14.0,12.0,36.0
opt_old,4,0.4666666666666667,0.5454545454545454,0.5538461538461539
perm_opt,4,8.285714285714286,7.833333333333333,7.972222222222222
perm,4,104.0,94.0,267.0
oldcount,4,30.0,22.0,61.0
optcount,4,14.0,12.0,34.0
opt_old,4,0.4666666666666667,0.5454545454545454,0.5573770491803278
perm_opt,4,7.428571428571429,7.833333333333333,7.852941176470588
perm,4,98.0,92.0,261.0
oldcount,4,28.0,22.0,61.0
optcount,4,18.0,18.0,49.0
opt_old,4,0.6428571428571429,0.8181818181818182,0.8032786885245902
perm_opt,4,5.444444444444445,5.111111111111111,5.326530612244898
perm,4,92.0,86.0,245.0
oldcount,4,26.0,20.0,59.0
optcount,4,20.0,18.0,55.0
opt_old,4,0.7692307692307693,0.9,0.9322033898305084
