name,d,Toffoli,CNOT,1-qubit
perm,1,90.0,38.0,156.0
oldcount,1,94.0,14.0,81.0
optcount,1,94.0,14.0,81.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9574468085106383,2.7142857142857144,1.9259259259259258
perm,1,90.0,34.0,150.0
oldcount,1,86.0,12.0,81.0
optcount,1,86.0,12.0,81.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0465116279069768,2.8333333333333335,1.8518518518518519
perm,1,90.0,46.0,168.0
oldcount,1,132.0,18.0,97.0
optcount,1,132.0,18.0,97.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6818181818181818,2.5555555555555554,1.731958762886598
perm,1,90.0,34.0,150.0
oldcount,1,56.0,12.0,51.0
optcount,1,56.0,12.0,51.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.6071428571428572,2.8333333333333335,2.9411764705882355
perm,1,90.0,54.0,180.0
oldcount,1,170.0,22.0,105.0
optcount,1,170.0,22.0,105.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5294117647058824,2.4545454545454546,1.7142857142857142
perm,1,90.0,38.0,156.0
oldcount,1,98.0,14.0,85.0
optcount,1,98.0,14.0,85.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9183673469387755,2.7142857142857144,1.8352941176470587
perm,1,90.0,46.0,168.0
oldcount,1,142.0,18.0,107.0
optcount,1,142.0,18.0,107.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6338028169014085,2.5555555555555554,1.5700934579439252
perm,1,90.0,42.0,162.0
oldcount,1,80.0,16.0,57.0
optcount,1,80.0,16.0,57.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.125,2.625,2.8421052631578947
perm,1,90.0,18.0,126.0
oldcount,1,4.0,4.0,11.0
optcount,1,4.0,4.0,11.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,22.5,4.5,11.454545454545455
perm,1,90.0,50.0,174.0
oldcount,1,164.0,20.0,115.0
optcount,1,164.0,20.0,115.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5487804878048781,2.5,1.5130434782608695
perm,1,90.0,30.0,144.0
oldcount,1,86.0,10.0,87.0
optcount,1,86.0,10.0,87.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0465116279069768,3.0,1.6551724137931034
perm,1,90.0,34.0,150.0
oldcount,1,74.0,12.0,69.0
optcount,1,74.0,12.0,69.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.2162162162162162,2.8333333333333335,2.1739130434782608
perm,1,90.0,26.0,138.0
oldcount,1,74.0,8.0,79.0
optcount,1,74.0,8.0,79.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.2162162162162162,3.25,1.7468354430379747
