name,d,Toffoli,CNOT,1-qubit
perm,1,114.0,58.0,210.0
oldcount,1,200.0,24.0,117.0
optcount,1,200.0,24.0,117.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.57,2.4166666666666665,1.794871794871795
perm,1,114.0,42.0,186.0
oldcount,1,150.0,16.0,127.0
optcount,1,150.0,16.0,127.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.76,2.625,1.4645669291338583
perm,1,114.0,38.0,180.0
oldcount,1,162.0,14.0,149.0
optcount,1,162.0,14.0,149.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7037037037037037,2.7142857142857144,1.2080536912751678
perm,1,114.0,34.0,174.0
oldcount,1,64.0,12.0,59.0
optcount,1,64.0,12.0,59.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.78125,2.8333333333333335,2.9491525423728815
perm,1,114.0,46.0,192.0
oldcount,1,152.0,18.0,117.0
optcount,1,152.0,18.0,117.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.75,2.5555555555555554,1.641025641025641
perm,1,114.0,46.0,192.0
oldcount,1,140.0,18.0,105.0
optcount,1,140.0,18.0,105.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8142857142857143,2.5555555555555554,1.8285714285714285
perm,1,114.0,58.0,210.0
oldcount,1,232.0,24.0,149.0
optcount,1,232.0,24.0,149.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.49137931034482757,2.4166666666666665,1.4093959731543624
perm,1,114.0,54.0,204.0
oldcount,1,214.0,22.0,149.0
optcount,1,214.0,22.0,149.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5327102803738317,2.4545454545454546,1.3691275167785235
perm,1,114.0,38.0,180.0
oldcount,1,110.0,14.0,97.0
optcount,1,110.0,14.0,97.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0363636363636364,2.7142857142857144,1.8556701030927836
perm,1,114.0,50.0,198.0
oldcount,1,190.0,20.0,141.0
optcount,1,190.0,20.0,141.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6,2.5,1.4042553191489362
perm,1,114.0,38.0,180.0
oldcount,1,114.0,14.0,101.0
optcount,1,114.0,14.0,101.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0,2.7142857142857144,1.7821782178217822
perm,1,114.0,50.0,198.0
oldcount,1,174.0,20.0,125.0
optcount,1,174.0,20.0,125.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6551724137931034,2.5,1.584
perm,1,114.0,58.0,210.0
oldcount,1,238.0,24.0,155.0
optcount,1,238.0,24.0,155.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.4789915966386555,2.4166666666666665,1.3548387096774193
perm,1,114.0,54.0,204.0
oldcount,1,214.0,22.0,149.0
optcount,1,214.0,22.0,149.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5327102803738317,2.4545454545454546,1.3691275167785235
perm,1,114.0,50.0,198.0
oldcount,1,158.0,20.0,109.0
optcount,1,158.0,20.0,109.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7215189873417721,2.5,1.81651376146789
perm,1,114.0,58.0,210.0
oldcount,1,204.0,24.0,121.0
optcount,1,204.0,24.0,121.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5588235294117647,2.4166666666666665,1.7355371900826446
perm,1,114.0,58.0,210.0
oldcount,1,208.0,24.0,125.0
optcount,1,208.0,24.0,125.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5480769230769231,2.4166666666666665,1.68
perm,1,114.0,46.0,192.0
oldcount,1,176.0,18.0,141.0
optcount,1,176.0,18.0,141.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6477272727272727,2.5555555555555554,1.3617021276595744
perm,1,114.0,58.0,210.0
oldcount,1,208.0,24.0,125.0
optcount,1,208.0,24.0,125.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5480769230769231,2.4166666666666665,1.68
perm,1,114.0,42.0,186.0
oldcount,1,128.0,16.0,105.0
optcount,1,128.0,16.0,105.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.890625,2.625,1.7714285714285714
perm,1,114.0,62.0,216.0
oldcount,1,266.0,26.0,163.0
