name,d,Toffoli,CNOT,1-qubit
perm,1,90.0,42.0,163.0
oldcount,1,144.0,18.0,109.0
optcount,1,144.0,18.0,109.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.625,2.3333333333333335,1.4954128440366972
perm,1,90.0,54.0,181.0
oldcount,1,184.0,22.0,119.0
optcount,1,184.0,22.0,119.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.4891304347826087,2.4545454545454546,1.5210084033613445
perm,1,90.0,38.0,157.0
oldcount,1,74.0,14.0,61.0
optcount,1,74.0,14.0,61.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.2162162162162162,2.7142857142857144,2.5737704918032787
perm,1,90.0,34.0,151.0
oldcount,1,98.0,12.0,93.0
optcount,1,98.0,12.0,93.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9183673469387755,2.8333333333333335,1.6236559139784945
perm,1,90.0,42.0,163.0
oldcount,1,156.0,22.0,97.0
optcount,1,156.0,22.0,97.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5769230769230769,1.9090909090909092,1.6804123711340206
perm,1,90.0,30.0,145.0
oldcount,1,76.0,10.0,77.0
optcount,1,76.0,10.0,77.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.1842105263157894,3.0,1.8831168831168832
perm,1,90.0,46.0,169.0
oldcount,1,108.0,18.0,73.0
optcount,1,108.0,18.0,73.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8333333333333334,2.5555555555555554,2.315068493150685
perm,1,90.0,46.0,169.0
oldcount,1,158.0,18.0,123.0
optcount,1,158.0,18.0,123.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.569620253164557,2.5555555555555554,1.3739837398373984
perm,1,90.0,38.0,157.0
oldcount,1,118.0,14.0,105.0
optcount,1,118.0,14.0,105.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7627118644067796,2.7142857142857144,1.4952380952380953
perm,1,90.0,46.0,169.0
oldcount,1,120.0,18.0,85.0
optcount,1,120.0,18.0,85.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.75,2.5555555555555554,1.988235294117647
perm,1,90.0,34.0,151.0
oldcount,1,90.0,16.0,69.0
optcount,1,90.0,16.0,69.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0,2.125,2.1884057971014492
perm,1,90.0,34.0,151.0
oldcount,1,116.0,16.0,95.0
optcount,1,116.0,16.0,95.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7758620689655172,2.125,1.5894736842105264
perm,1,90.0,46.0,169.0
oldcount,1,200.0,26.0,109.0
