name,d,Toffoli,CNOT,1-qubit
perm,1,114.0,54.0,204.0
oldcount,1,168.0,22.0,103.0
optcount,1,168.0,22.0,103.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6785714285714286,2.4545454545454546,1.9805825242718447
perm,1,114.0,38.0,180.0
oldcount,1,156.0,14.0,143.0
optcount,1,156.0,14.0,143.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7307692307692307,2.7142857142857144,1.2587412587412588
perm,1,114.0,38.0,180.0
oldcount,1,98.0,14.0,85.0
optcount,1,98.0,14.0,85.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.163265306122449,2.7142857142857144,2.1176470588235294
perm,1,114.0,26.0,162.0
oldcount,1,58.0,8.0,63.0
optcount,1,58.0,8.0,63.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.9655172413793103,3.25,2.5714285714285716
perm,1,114.0,34.0,174.0
oldcount,1,98.0,12.0,93.0
optcount,1,98.0,12.0,93.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.163265306122449,2.8333333333333335,1.8709677419354838
perm,1,114.0,50.0,198.0
oldcount,1,196.0,20.0,147.0
optcount,1,196.0,20.0,147.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5816326530612245,2.5,1.346938775510204
perm,1,114.0,62.0,216.0
oldcount,1,240.0,26.0,137.0
optcount,1,240.0,26.0,137.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.475,2.3846153846153846,1.5766423357664234
perm,1,114.0,42.0,186.0
oldcount,1,142.0,16.0,119.0
optcount,1,142.0,16.0,119.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8028169014084507,2.625,1.5630252100840336
perm,1,114.0,42.0,186.0
oldcount,1,136.0,16.0,113.0
optcount,1,136.0,16.0,113.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8382352941176471,2.625,1.6460176991150441
perm,1,114.0,38.0,180.0
oldcount,1,96.0,14.0,83.0
optcount,1,96.0,14.0,83.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.1875,2.7142857142857144,2.1686746987951806
perm,1,114.0,50.0,198.0
oldcount,1,216.0,20.0,167.0
optcount,1,216.0,20.0,167.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5277777777777778,2.5,1.18562874251497
perm,1,114.0,50.0,198.0
oldcount,1,178.0,20.0,129.0
optcount,1,178.0,20.0,129.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6404494382022472,2.5,1.5348837209302326
perm,1,114.0,42.0,186.0
oldcount,1,166.0,16.0,143.0
optcount,1,166.0,16.0,143.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6867469879518072,2.625,1.3006993006993006
perm,1,114.0,46.0,192.0
oldcount,1,172.0,18.0,137.0
optcount,1,172.0,18.0,137.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6627906976744186,2.5555555555555554,1.4014598540145986
perm,1,114.0,30.0,168.0
oldcount,1,34.0,10.0,35.0
optcount,1,34.0,10.0,35.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,3.3529411764705883,3.0,4.8
perm,1,114.0,62.0,216.0
oldcount,1,260.0,26.0,157.0
optcount,1,260.0,26.0,157.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.43846153846153846,2.3846153846153846,1.375796178343949
perm,1,114.0,50.0,198.0
oldcount,1,150.0,20.0,101.0
optcount,1,150.0,20.0,101.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.76,2.5,1.9603960396039604
perm,1,114.0,50.0,198.0
oldcount,1,174.0,20.0,125.0
optcount,1,174.0,20.0,125.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6551724137931034,2.5,1.584
perm,1,114.0,58.0,210.0
oldcount,1,240.0,24.0,157.0
optcount,1,240.0,24.0,157.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.475,2.4166666666666665,1.3375796178343948
perm,1,114.0,58.0,210.0
oldcount,1,216.0,24.0,133.0
optcount,1,216.0,24.0,133.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5277777777777778,2.4166666666666665,1.5789473684210527
perm,1,114.0,58.0,210.0
oldcount,1,190.0,24.0,107.0
optcount,1,190.0,24.0,107.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6,2.4166666666666665,1.9626168224299065
perm,1,114.0,50.0,198.0
oldcount,1,132.0,20.0,83.0
optcount,1,132.0,20.0,83.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8636363636363636,2.5,2.3855421686746987
perm,1,114.0,42.0,186.0
oldcount,1,108.0,16.0,85.0
optcount,1,108.0,16.0,85.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0555555555555556,2.625,2.1882352941176473
perm,1,114.0,46.0,192.0
oldcount,1,162.0,18.0,127.0
optcount,1,162.0,18.0,127.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7037037037037037,2.5555555555555554,1.5118110236220472
perm,1,114.0,50.0,198.0
oldcount,1,168.0,20.0,119.0
optcount,1,168.0,20.0,119.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6785714285714286,2.5,1.6638655462184875
perm,1,114.0,50.0,198.0
oldcount,1,182.0,20.0,133.0
optcount,1,182.0,20.0,133.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6263736263736264,2.5,1.4887218045112782
perm,1,114.0,54.0,204.0
oldcount,1,186.0,22.0,121.0
optcount,1,186.0,22.0,121.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6129032258064516,2.4545454545454546,1.6859504132231404
perm,1,114.0,42.0,186.0
oldcount,1,136.0,16.0,113.0
optcount,1,136.0,16.0,113.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8382352941176471,2.625,1.6460176991150441
perm,1,114.0,54.0,204.0
oldcount,1,184.0,22.0,119.0
optcount,1,184.0,22.0,119.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6195652173913043,2.4545454545454546,1.7142857142857142
perm,1,114.0,30.0,168.0
oldcount,1,62.0,10.0,63.0
optcount,1,62.0,10.0,63.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.8387096774193548,3.0,2.6666666666666665
perm,1,114.0,50.0,198.0
oldcount,1,166.0,20.0,117.0
optcount,1,166.0,20.0,117.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6867469879518072,2.5,1.6923076923076923
perm,1,114.0,54.0,204.0
oldcount,1,188.0,22.0,123.0
optcount,1,188.0,22.0,123.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6063829787234043,2.4545454545454546,1.6585365853658536
perm,1,114.0,34.0,174.0
oldcount,1,80.0,12.0,75.0
optcount,1,80.0,12.0,75.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.425,2.8333333333333335,2.32
perm,1,114.0,42.0,186.0
oldcount,1,146.0,16.0,123.0
optcount,1,146.0,16.0,123.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7808219178082192,2.625,1.5121951219512195
perm,1,114.0,34.0,174.0
oldcount,1,42.0,12.0,37.0
optcount,1,42.0,12.0,37.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,2.7142857142857144,2.8333333333333335,4.702702702702703
perm,1,114.0,50.0,198.0
oldcount,1,164.0,20.0,115.0
optcount,1,164.0,20.0,115.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6951219512195121,2.5,1.7217391304347827
perm,1,114.0,50.0,198.0
oldcount,1,128.0,20.0,79.0
optcount,1,128.0,20.0,79.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.890625,2.5,2.5063291139240507
perm,1,114.0,38.0,180.0
oldcount,1,146.0,14.0,133.0
optcount,1,146.0,14.0,133.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7808219178082192,2.7142857142857144,1.3533834586466165
perm,1,114.0,54.0,204.0
oldcount,1,196.0,22.0,131.0
optcount,1,196.0,22.0,131.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5816326530612245,2.4545454545454546,1.5572519083969465
perm,1,114.0,38.0,180.0
oldcount,1,120.0,14.0,107.0
optcount,1,120.0,14.0,107.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.95,2.7142857142857144,1.6822429906542056
perm,1,114.0,22.0,156.0
oldcount,1,20.0,6.0,27.0
optcount,1,20.0,6.0,27.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,5.7,3.6666666666666665,5.777777777777778
perm,1,114.0,42.0,186.0
oldcount,1,156.0,16.0,133.0
optcount,1,156.0,16.0,133.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7307692307692307,2.625,1.3984962406015038
perm,1,114.0,50.0,198.0
oldcount,1,134.0,20.0,85.0
optcount,1,134.0,20.0,85.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8507462686567164,2.5,2.3294117647058825
perm,1,114.0,46.0,192.0
oldcount,1,140.0,18.0,105.0
optcount,1,140.0,18.0,105.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8142857142857143,2.5555555555555554,1.8285714285714285
perm,1,114.0,62.0,216.0
oldcount,1,220.0,26.0,117.0
optcount,1,220.0,26.0,117.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5181818181818182,2.3846153846153846,1.8461538461538463
perm,1,114.0,54.0,204.0
oldcount,1,208.0,22.0,143.0
optcount,1,208.0,22.0,143.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5480769230769231,2.4545454545454546,1.4265734265734267
perm,1,114.0,42.0,186.0
oldcount,1,130.0,16.0,107.0
optcount,1,130.0,16.0,107.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8769230769230769,2.625,1.7383177570093458
perm,1,114.0,42.0,186.0
oldcount,1,176.0,16.0,153.0
optcount,1,176.0,16.0,153.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6477272727272727,2.625,1.2156862745098038
perm,1,114.0,34.0,174.0
oldcount,1,84.0,12.0,79.0
optcount,1,84.0,12.0,79.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.3571428571428572,2.8333333333333335,2.2025316455696204
perm,1,114.0,58.0,210.0
oldcount,1,176.0,24.0,93.0
optcount,1,176.0,24.0,93.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6477272727272727,2.4166666666666665,2.2580645161290325
perm,1,114.0,66.0,222.0
oldcount,1,200.0,28.0,75.0
optcount,1,200.0,28.0,75.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.57,2.357142857142857,2.96
perm,1,114.0,50.0,198.0
oldcount,1,210.0,20.0,161.0
optcount,1,210.0,20.0,161.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5428571428571428,2.5,1.2298136645962734
perm,1,114.0,26.0,162.0
oldcount,1,60.0,8.0,65.0
optcount,1,60.0,8.0,65.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.9,3.25,2.4923076923076923
perm,1,114.0,42.0,186.0
oldcount,1,152.0,16.0,129.0
optcount,1,152.0,16.0,129.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.75,2.625,1.441860465116279
perm,1,114.0,34.0,174.0
oldcount,1,94.0,12.0,89.0
optcount,1,94.0,12.0,89.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.2127659574468086,2.8333333333333335,1.9550561797752808
perm,1,114.0,42.0,186.0
oldcount,1,150.0,16.0,127.0
optcount,1,150.0,16.0,127.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.76,2.625,1.4645669291338583
perm,1,114.0,46.0,192.0
oldcount,1,176.0,18.0,141.0
optcount,1,176.0,18.0,141.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6477272727272727,2.5555555555555554,1.3617021276595744
perm,1,114.0,42.0,186.0
oldcount,1,106.0,16.0,83.0
optcount,1,106.0,16.0,83.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0754716981132075,2.625,2.2409638554216866
perm,1,114.0,42.0,186.0
oldcount,1,110.0,16.0,87.0
optcount,1,110.0,16.0,87.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0363636363636364,2.625,2.1379310344827585
perm,1,114.0,46.0,192.0
oldcount,1,178.0,18.0,143.0
optcount,1,178.0,18.0,143.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6404494382022472,2.5555555555555554,1.3426573426573427
perm,1,114.0,38.0,180.0
oldcount,1,128.0,14.0,115.0
optcount,1,128.0,14.0,115.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.890625,2.7142857142857144,1.565217391304348
perm,1,114.0,30.0,168.0
oldcount,1,82.0,10.0,83.0
optcount,1,82.0,10.0,83.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.3902439024390243,3.0,2.0240963855421685
perm,1,114.0,30.0,168.0
oldcount,1,98.0,10.0,99.0
optcount,1,98.0,10.0,99.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.163265306122449,3.0,1.696969696969697
perm,1,114.0,46.0,192.0
oldcount,1,166.0,18.0,131.0
optcount,1,166.0,18.0,131.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6867469879518072,2.5555555555555554,1.465648854961832
perm,1,114.0,50.0,198.0
oldcount,1,194.0,20.0,145.0
optcount,1,194.0,20.0,145.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5876288659793815,2.5,1.3655172413793104
perm,1,114.0,58.0,210.0
oldcount,1,222.0,24.0,139.0
optcount,1,222.0,24.0,139.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5135135135135135,2.4166666666666665,1.5107913669064748
perm,1,114.0,46.0,192.0
oldcount,1,162.0,18.0,127.0
optcount,1,162.0,18.0,127.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7037037037037037,2.5555555555555554,1.5118110236220472
perm,1,114.0,58.0,210.0
