name,n,Toffoli,CNOT,1-qubit
perm,7,2446.0,1258.0,3683.0
oldcount,7,846.0,214.0,641.0
optcount,7,834.0,212.0,635.0
opt_old,7,0.9858156028368794,0.9906542056074766,0.9906396255850234
perm_opt,7,2.932853717026379,5.933962264150943,5.8
perm,7,2554.0,1332.0,3921.0
oldcount,7,904.0,226.0,667.0
optcount,7,856.0,218.0,651.0
opt_old,7,0.9469026548672567,0.9646017699115044,0.9760119940029985
perm_opt,7,2.9836448598130842,6.110091743119266,6.023041474654378
perm,7,2590.0,1322.0,3891.0
oldcount,7,854.0,216.0,641.0
optcount,7,818.0,210.0,631.0
opt_old,7,0.9578454332552693,0.9722222222222222,0.984399375975039
perm_opt,7,3.1662591687041566,6.295238095238095,6.166402535657686
perm,7,2566.0,1290.0,3839.0
oldcount,7,842.0,212.0,635.0
optcount,7,818.0,208.0,627.0
opt_old,7,0.9714964370546318,0.9811320754716981,0.9874015748031496
perm_opt,7,3.136919315403423,6.201923076923077,6.12280701754386
perm,7,2506.0,1276.0,3789.0
oldcount,7,854.0,216.0,639.0
optcount,7,854.0,216.0,639.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.9344262295081966,5.907407407407407,5.929577464788732
perm,7,2518.0,1242.0,3711.0
oldcount,7,904.0,226.0,667.0
optcount,7,868.0,220.0,655.0
opt_old,7,0.9601769911504425,0.9734513274336283,0.9820089955022488
perm_opt,7,2.9009216589861753,5.6454545454545455,5.665648854961832
perm,7,2434.0,1216.0,3605.0
oldcount,7,888.0,222.0,655.0
optcount,7,864.0,218.0,647.0
opt_old,7,0.972972972972973,0.9819819819819819,0.9877862595419847
perm_opt,7,2.8171296296296298,5.577981651376147,5.571870170015456
perm,7,2542.0,1354.0,3957.0
oldcount,7,876.0,220.0,651.0
optcount,7,828.0,212.0,633.0
opt_old,7,0.9452054794520548,0.9636363636363636,0.9723502304147466
perm_opt,7,3.070048309178744,6.386792452830188,6.251184834123222
perm,7,2530.0,1376.0,3991.0
oldcount,7,838.0,212.0,625.0
optcount,7,826.0,210.0,625.0
opt_old,7,0.9856801909307876,0.9905660377358491,1.0
perm_opt,7,3.062953995157385,6.552380952380952,6.3856
perm,7,2506.0,1316.0,3871.0
oldcount,7,846.0,214.0,635.0
optcount,7,834.0,212.0,635.0
opt_old,7,0.9858156028368794,0.9906542056074766,1.0
perm_opt,7,3.0047961630695443,6.2075471698113205,6.096062992125984
perm,7,2494.0,1230.0,3637.0
oldcount,7,884.0,222.0,657.0
optcount,7,826.0,212.0,631.0
opt_old,7,0.9343891402714932,0.954954954954955,0.9604261796042618
perm_opt,7,3.0193704600484264,5.80188679245283,5.7638668779714735
perm,7,2578.0,1276.0,3811.0
oldcount,7,874.0,220.0,649.0
optcount,7,838.0,214.0,641.0
opt_old,7,0.9588100686498856,0.9727272727272728,0.987673343605547
perm_opt,7,3.0763723150357993,5.962616822429907,5.945397815912637
perm,7,2494.0,1282.0,3783.0
oldcount,7,896.0,224.0,663.0
optcount,7,848.0,216.0,649.0
opt_old,7,0.9464285714285714,0.9642857142857143,0.9788838612368024
perm_opt,7,2.9410377358490565,5.935185185185185,5.8289676425269645
perm,7,2482.0,1284.0,3775.0
oldcount,7,894.0,224.0,661.0
optcount,7,870.0,220.0,655.0
opt_old,7,0.9731543624161074,0.9821428571428571,0.9909228441754917
perm_opt,7,2.852873563218391,5.836363636363636,5.763358778625954
perm,7,2602.0,1332.0,3951.0
oldcount,7,914.0,228.0,675.0
optcount,7,854.0,218.0,653.0
opt_old,7,0.9343544857768052,0.956140350877193,0.9674074074074074
perm_opt,7,3.0468384074941453,6.110091743119266,6.050535987748852
perm,7,2326.0,1214.0,3501.0
oldcount,7,846.0,214.0,637.0
optcount,7,798.0,206.0,619.0
opt_old,7,0.9432624113475178,0.9626168224299065,0.9717425431711146
perm_opt,7,2.9147869674185465,5.893203883495145,5.655896607431341
perm,7,2554.0,1308.0,3855.0
oldcount,7,868.0,218.0,649.0
optcount,7,832.0,212.0,641.0
opt_old,7,0.9585253456221198,0.9724770642201835,0.987673343605547
perm_opt,7,3.0697115384615383,6.169811320754717,6.014040561622465
perm,7,2470.0,1218.0,3609.0
oldcount,7,884.0,222.0,655.0
optcount,7,836.0,214.0,639.0
