name,n,Toffoli,CNOT,1-qubit
perm,4,114.0,98.0,269.0
oldcount,4,22.0,18.0,49.0
optcount,4,22.0,18.0,49.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,5.181818181818182,5.444444444444445,5.489795918367347
perm,4,132.0,116.0,333.0
oldcount,4,36.0,26.0,73.0
optcount,4,24.0,22.0,61.0
opt_old,4,0.6666666666666666,0.8461538461538461,0.8356164383561644
perm_opt,4,5.5,5.2727272727272725,5.459016393442623
perm,4,102.0,94.0,261.0
oldcount,4,22.0,18.0,55.0
optcount,4,22.0,18.0,55.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,4.636363636363637,5.222222222222222,4.745454545454545
perm,4,132.0,104.0,309.0
oldcount,4,28.0,22.0,63.0
optcount,4,22.0,20.0,59.0
opt_old,4,0.7857142857142857,0.9090909090909091,0.9365079365079365
perm_opt,4,6.0,5.2,5.237288135593221
perm,4,132.0,100.0,305.0
oldcount,4,30.0,22.0,65.0
optcount,4,30.0,22.0,65.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,4.4,4.545454545454546,4.6923076923076925
perm,4,144.0,112.0,327.0
oldcount,4,28.0,22.0,63.0
optcount,4,28.0,22.0,63.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,5.142857142857143,5.090909090909091,5.190476190476191
perm,4,114.0,86.0,255.0
oldcount,4,28.0,22.0,61.0
optcount,4,22.0,20.0,55.0
opt_old,4,0.7857142857142857,0.9090909090909091,0.9016393442622951
perm_opt,4,5.181818181818182,4.3,4.636363636363637
perm,4,126.0,106.0,301.0
oldcount,4,22.0,18.0,51.0
optcount,4,22.0,18.0,51.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,5.7272727272727275,5.888888888888889,5.901960784313726
perm,4,102.0,90.0,257.0
oldcount,4,26.0,20.0,59.0
optcount,4,26.0,20.0,59.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.923076923076923,4.5,4.3559322033898304
perm,4,120.0,104.0,287.0
oldcount,4,26.0,20.0,55.0
optcount,4,20.0,18.0,51.0
opt_old,4,0.7692307692307693,0.9,0.9272727272727272
perm_opt,4,6.0,5.777777777777778,5.627450980392157
perm,4,108.0,96.0,269.0
oldcount,4,26.0,20.0,57.0
optcount,4,20.0,18.0,51.0
opt_old,4,0.7692307692307693,0.9,0.8947368421052632
perm_opt,4,5.4,5.333333333333333,5.2745098039215685
perm,4,144.0,132.0,373.0
oldcount,4,28.0,22.0,61.0
optcount,4,24.0,20.0,55.0
opt_old,4,0.8571428571428571,0.9090909090909091,0.9016393442622951
perm_opt,4,6.0,6.6,6.781818181818182
perm,4,120.0,84.0,255.0
oldcount,4,26.0,20.0,59.0
optcount,4,26.0,20.0,59.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,4.615384615384615,4.2,4.322033898305085
perm,4,96.0,76.0,215.0
oldcount,4,30.0,22.0,61.0
optcount,4,24.0,20.0,57.0
opt_old,4,0.8,0.9090909090909091,0.9344262295081968
perm_opt,4,4.0,3.8,3.7719298245614037
perm,4,132.0,108.0,321.0
oldcount,4,26.0,20.0,59.0
optcount,4,26.0,20.0,59.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,5.076923076923077,5.4,5.440677966101695
perm,4,132.0,112.0,325.0
oldcount,4,28.0,22.0,65.0
optcount,4,22.0,20.0,57.0
opt_old,4,0.7857142857142857,0.9090909090909091,0.8769230769230769
perm_opt,4,6.0,5.6,5.701754385964913
perm,4,108.0,80.0,237.0
oldcount,4,30.0,22.0,65.0
optcount,4,30.0,22.0,65.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.6,3.6363636363636362,3.646153846153846
perm,4,144.0,136.0,377.0
oldcount,4,24.0,18.0,49.0
optcount,4,24.0,18.0,49.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,6.0,7.555555555555555,7.6938775510204085
perm,4,102.0,90.0,257.0
