name,n,Toffoli,CNOT,1-qubit
perm,7,2470.0,1302.0,3805.0
oldcount,7,1002.0,246.0,727.0
optcount,7,1002.0,246.0,727.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.465069860279441,5.2926829268292686,5.233837689133425
perm,7,2566.0,1314.0,3875.0
oldcount,7,984.0,242.0,715.0
optcount,7,984.0,242.0,715.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.6077235772357725,5.429752066115703,5.419580419580419
perm,7,2458.0,1240.0,3665.0
oldcount,7,984.0,242.0,717.0
optcount,7,984.0,242.0,717.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.497967479674797,5.12396694214876,5.111576011157601
perm,7,2470.0,1238.0,3637.0
oldcount,7,1002.0,246.0,727.0
optcount,7,1002.0,246.0,727.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.465069860279441,5.032520325203252,5.002751031636864
perm,7,2446.0,1186.0,3551.0
oldcount,7,966.0,238.0,703.0
optcount,7,966.0,238.0,703.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.5320910973084887,4.983193277310924,5.051209103840683
perm,7,2542.0,1314.0,3873.0
oldcount,7,1004.0,246.0,727.0
optcount,7,1004.0,246.0,727.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.5318725099601593,5.341463414634147,5.327372764786795
perm,7,2446.0,1246.0,3669.0
oldcount,7,1002.0,246.0,727.0
optcount,7,1002.0,246.0,727.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.4411177644710578,5.065040650406504,5.046767537826685
perm,7,2482.0,1248.0,3697.0
oldcount,7,1022.0,250.0,739.0
optcount,7,1022.0,250.0,739.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.4285714285714284,4.992,5.002706359945873
perm,7,2530.0,1228.0,3665.0
oldcount,7,1004.0,246.0,727.0
optcount,7,1004.0,246.0,727.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.5199203187250996,4.991869918699187,5.041265474552957
perm,7,2542.0,1314.0,3865.0
oldcount,7,1002.0,246.0,727.0
optcount,7,1002.0,246.0,727.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.536926147704591,5.341463414634147,5.316368638239339
perm,7,2458.0,1284.0,3717.0
oldcount,7,1002.0,246.0,727.0
optcount,7,1002.0,246.0,727.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.4530938123752497,5.219512195121951,5.112792297111417
perm,7,2482.0,1224.0,3615.0
oldcount,7,1022.0,250.0,739.0
optcount,7,1022.0,250.0,739.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.4285714285714284,4.896,4.891745602165088
perm,7,2518.0,1326.0,3887.0
oldcount,7,1002.0,246.0,727.0
optcount,7,1002.0,246.0,727.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.5129740518962076,5.390243902439025,5.346629986244841
perm,7,2614.0,1354.0,4007.0
oldcount,7,1012.0,248.0,733.0
optcount,7,1012.0,248.0,733.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.58300395256917,5.459677419354839,5.466575716234652
perm,7,2494.0,1250.0,3721.0
oldcount,7,1004.0,246.0,727.0
optcount,7,1004.0,246.0,727.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.4840637450199203,5.08130081300813,5.1182943603851445
perm,7,2518.0,1302.0,3869.0
oldcount,7,982.0,242.0,715.0
optcount,7,982.0,242.0,715.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.564154786150713,5.380165289256198,5.411188811188811
perm,7,2542.0,1250.0,3759.0
oldcount,7,1004.0,246.0,727.0
optcount,7,1004.0,246.0,727.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.5318725099601593,5.08130081300813,5.170563961485557
perm,7,2470.0,1210.0,3613.0
oldcount,7,966.0,238.0,703.0
optcount,7,966.0,238.0,703.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.556935817805383,5.084033613445378,5.139402560455192
perm,7,2410.0,1260.0,3675.0
oldcount,7,1002.0,246.0,727.0
optcount,7,1002.0,246.0,727.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.405189620758483,5.121951219512195,5.055020632737277
perm,7,2506.0,1312.0,3847.0
oldcount,7,1002.0,246.0,727.0
optcount,7,1002.0,246.0,727.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.500998003992016,5.333333333333333,5.291609353507566
perm,7,2494.0,1310.0,3817.0
oldcount,7,992.0,244.0,721.0
optcount,7,992.0,244.0,721.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.5141129032258065,5.368852459016393,5.294036061026352
perm,7,2506.0,1268.0,3757.0
oldcount,7,992.0,244.0,721.0
optcount,7,992.0,244.0,721.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.526209677419355,5.19672131147541,5.2108183079056865
perm,7,2362.0,1172.0,3463.0
oldcount,7,1002.0,246.0,727.0
optcount,7,1002.0,246.0,727.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.3572854291417165,4.764227642276423,4.763411279229711
perm,7,2386.0,1220.0,3565.0
oldcount,7,1022.0,250.0,739.0
optcount,7,1022.0,250.0,739.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.334637964774951,4.88,4.824086603518268
perm,7,2566.0,1354.0,3975.0
oldcount,7,1002.0,246.0,727.0
optcount,7,1002.0,246.0,727.0
opt_old,7,1.0,1.0,1.0
perm_opt,7,2.560878243512974,5.504065040650406,5.46767537826685
