name,n,Toffoli,CNOT,1-qubit
perm,7,1694.0,1130.0,3243.0
oldcount,7,864.0,218.0,649.0
optcount,7,402.0,130.0,427.0
opt_old,7,0.4652777777777778,0.5963302752293578,0.6579352850539292
perm_opt,7,4.213930348258707,8.692307692307692,7.594847775175644
perm,7,1730.0,1092.0,3237.0
oldcount,7,906.0,226.0,669.0
optcount,7,464.0,140.0,451.0
opt_old,7,0.5121412803532008,0.6194690265486725,0.6741405082212257
perm_opt,7,3.728448275862069,7.8,7.177383592017739
perm,7,1874.0,1200.0,3557.0
oldcount,7,924.0,230.0,679.0
optcount,7,530.0,158.0,497.0
opt_old,7,0.5735930735930735,0.6869565217391305,0.7319587628865979
perm_opt,7,3.5358490566037735,7.594936708860759,7.156941649899396
perm,7,1838.0,1162.0,3433.0
oldcount,7,884.0,222.0,657.0
optcount,7,410.0,128.0,411.0
opt_old,7,0.4638009049773756,0.5765765765765766,0.6255707762557078
perm_opt,7,4.482926829268293,9.078125,8.35279805352798
perm,7,1826.0,1132.0,3355.0
oldcount,7,902.0,226.0,669.0
optcount,7,474.0,146.0,467.0
opt_old,7,0.5254988913525499,0.6460176991150443,0.6980568011958147
perm_opt,7,3.852320675105485,7.7534246575342465,7.184154175588865
perm,7,1670.0,994.0,2935.0
oldcount,7,846.0,214.0,637.0
optcount,7,454.0,140.0,447.0
opt_old,7,0.5366430260047281,0.6542056074766355,0.7017268445839875
perm_opt,7,3.6784140969162995,7.1,6.565995525727069
perm,7,1658.0,1056.0,3109.0
oldcount,7,856.0,216.0,641.0
optcount,7,394.0,128.0,415.0
opt_old,7,0.4602803738317757,0.5925925925925926,0.6474258970358814
perm_opt,7,4.208121827411167,8.25,7.491566265060241
perm,7,1754.0,1084.0,3215.0
oldcount,7,876.0,220.0,653.0
optcount,7,498.0,148.0,477.0
opt_old,7,0.5684931506849316,0.6727272727272727,0.7304747320061256
perm_opt,7,3.5220883534136544,7.324324324324325,6.740041928721174
perm,7,1886.0,1238.0,3601.0
oldcount,7,846.0,214.0,637.0
optcount,7,440.0,138.0,451.0
opt_old,7,0.5200945626477541,0.6448598130841121,0.7080062794348508
perm_opt,7,4.286363636363636,8.971014492753623,7.984478935698448
perm,7,1658.0,972.0,2905.0
oldcount,7,894.0,224.0,665.0
optcount,7,426.0,136.0,439.0
opt_old,7,0.47651006711409394,0.6071428571428571,0.6601503759398496
perm_opt,7,3.892018779342723,7.147058823529412,6.617312072892939
perm,7,1742.0,1078.0,3199.0
oldcount,7,894.0,224.0,661.0
optcount,7,510.0,154.0,493.0
opt_old,7,0.5704697986577181,0.6875,0.745839636913767
perm_opt,7,3.4156862745098038,7.0,6.488843813387424
perm,7,1706.0,1056.0,3131.0
oldcount,7,904.0,226.0,669.0
optcount,7,424.0,134.0,425.0
opt_old,7,0.4690265486725664,0.5929203539823009,0.6352765321375187
perm_opt,7,4.023584905660377,7.880597014925373,7.367058823529412
perm,7,1814.0,1198.0,3499.0
