name,n,Toffoli,CNOT,1-qubit
perm,4,158.0,140.0,399.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,4.388888888888889,5.384615384615385,5.465753424657534
perm,4,140.0,130.0,359.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.888888888888889,5.0,4.917808219178082
perm,4,140.0,130.0,361.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.888888888888889,5.0,4.945205479452055
perm,4,116.0,106.0,289.0
oldcount,4,34.0,24.0,67.0
optcount,4,34.0,24.0,67.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.411764705882353,4.416666666666667,4.313432835820896
perm,4,128.0,110.0,313.0
oldcount,4,40.0,28.0,79.0
optcount,4,40.0,28.0,79.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.2,3.9285714285714284,3.962025316455696
perm,4,122.0,112.0,317.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.388888888888889,4.3076923076923075,4.342465753424658
perm,4,134.0,104.0,311.0
oldcount,4,32.0,24.0,67.0
optcount,4,32.0,24.0,67.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,4.1875,4.333333333333333,4.641791044776119
perm,4,140.0,134.0,367.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.888888888888889,5.153846153846154,5.027397260273973
perm,4,134.0,104.0,315.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.7222222222222223,4.0,4.315068493150685
perm,4,104.0,98.0,263.0
oldcount,4,32.0,24.0,67.0
optcount,4,32.0,24.0,67.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.25,4.083333333333333,3.925373134328358
perm,4,104.0,90.0,249.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,2.888888888888889,3.4615384615384617,3.410958904109589
perm,4,98.0,80.0,231.0
oldcount,4,40.0,28.0,79.0
optcount,4,40.0,28.0,79.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,2.45,2.857142857142857,2.9240506329113924
perm,4,134.0,108.0,323.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.7222222222222223,4.153846153846154,4.424657534246576
perm,4,128.0,118.0,329.0
oldcount,4,40.0,28.0,79.0
optcount,4,40.0,28.0,79.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.2,4.214285714285714,4.1645569620253164
perm,4,92.0,86.0,237.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,2.5555555555555554,3.3076923076923075,3.2465753424657535
perm,4,134.0,112.0,329.0
oldcount,4,30.0,22.0,63.0
optcount,4,30.0,22.0,63.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,4.466666666666667,5.090909090909091,5.222222222222222
perm,4,116.0,102.0,291.0
oldcount,4,40.0,28.0,79.0
optcount,4,40.0,28.0,79.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,2.9,3.642857142857143,3.6835443037974684
perm,4,146.0,132.0,373.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,4.055555555555555,5.076923076923077,5.109589041095891
perm,4,140.0,122.0,345.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.888888888888889,4.6923076923076925,4.726027397260274
perm,4,134.0,120.0,341.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.7222222222222223,4.615384615384615,4.671232876712328
perm,4,152.0,126.0,357.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,4.222222222222222,4.846153846153846,4.890410958904109
perm,4,116.0,102.0,289.0
oldcount,4,40.0,28.0,79.0
optcount,4,40.0,28.0,79.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,2.9,3.642857142857143,3.6582278481012658
perm,4,104.0,90.0,257.0
oldcount,4,30.0,22.0,63.0
optcount,4,30.0,22.0,63.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.466666666666667,4.090909090909091,4.079365079365079
perm,4,92.0,82.0,229.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,2.5555555555555554,3.1538461538461537,3.136986301369863
perm,4,146.0,136.0,383.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,4.055555555555555,5.230769230769231,5.2465753424657535
perm,4,110.0,100.0,279.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.0555555555555554,3.8461538461538463,3.8219178082191783
perm,4,122.0,108.0,315.0
oldcount,4,40.0,28.0,79.0
optcount,4,40.0,28.0,79.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.05,3.857142857142857,3.9873417721518987
perm,4,116.0,106.0,299.0
oldcount,4,36.0,26.0,75.0
optcount,4,36.0,26.0,75.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.2222222222222223,4.076923076923077,3.986666666666667
perm,4,122.0,100.0,299.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.388888888888889,3.8461538461538463,4.095890410958904
perm,4,134.0,112.0,325.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.7222222222222223,4.3076923076923075,4.4520547945205475
perm,4,122.0,104.0,295.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.388888888888889,4.0,4.041095890410959
perm,4,140.0,130.0,361.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.888888888888889,5.0,4.945205479452055
perm,4,92.0,78.0,217.0
oldcount,4,32.0,24.0,69.0
optcount,4,32.0,24.0,69.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,2.875,3.25,3.1449275362318843
perm,4,92.0,78.0,215.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,2.5555555555555554,3.0,2.9452054794520546
perm,4,116.0,110.0,301.0
oldcount,4,32.0,24.0,67.0
optcount,4,32.0,24.0,67.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.625,4.583333333333333,4.492537313432836
perm,4,110.0,100.0,277.0
oldcount,4,32.0,24.0,67.0
optcount,4,32.0,24.0,67.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.4375,4.166666666666667,4.134328358208955
perm,4,92.0,74.0,207.0
oldcount,4,40.0,28.0,79.0
optcount,4,40.0,28.0,79.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,2.3,2.642857142857143,2.6202531645569622
perm,4,128.0,102.0,297.0
oldcount,4,40.0,28.0,79.0
optcount,4,40.0,28.0,79.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.2,3.642857142857143,3.759493670886076
perm,4,92.0,78.0,217.0
oldcount,4,32.0,24.0,67.0
optcount,4,32.0,24.0,67.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,2.875,3.25,3.2388059701492535
perm,4,98.0,80.0,225.0
oldcount,4,34.0,24.0,67.0
optcount,4,34.0,24.0,67.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,2.8823529411764706,3.3333333333333335,3.3582089552238807
perm,4,134.0,116.0,331.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.7222222222222223,4.461538461538462,4.534246575342466
perm,4,116.0,106.0,301.0
oldcount,4,36.0,26.0,75.0
optcount,4,36.0,26.0,75.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.2222222222222223,4.076923076923077,4.013333333333334
perm,4,116.0,110.0,303.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.2222222222222223,4.230769230769231,4.1506849315068495
perm,4,128.0,98.0,289.0
oldcount,4,36.0,26.0,75.0
optcount,4,36.0,26.0,75.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.5555555555555554,3.769230769230769,3.8533333333333335
perm,4,134.0,116.0,333.0
oldcount,4,32.0,24.0,67.0
optcount,4,32.0,24.0,67.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,4.1875,4.833333333333333,4.970149253731344
perm,4,134.0,108.0,321.0
oldcount,4,36.0,26.0,75.0
optcount,4,36.0,26.0,75.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.7222222222222223,4.153846153846154,4.28
perm,4,134.0,116.0,335.0
oldcount,4,34.0,24.0,67.0
optcount,4,34.0,24.0,67.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.9411764705882355,4.833333333333333,5.0
perm,4,122.0,116.0,327.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.388888888888889,4.461538461538462,4.47945205479452
perm,4,98.0,84.0,237.0
oldcount,4,30.0,22.0,63.0
optcount,4,30.0,22.0,63.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.2666666666666666,3.8181818181818183,3.761904761904762
perm,4,122.0,104.0,289.0
oldcount,4,32.0,24.0,67.0
optcount,4,32.0,24.0,67.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.8125,4.333333333333333,4.313432835820896
perm,4,146.0,140.0,391.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,4.055555555555555,5.384615384615385,5.3561643835616435
perm,4,122.0,100.0,293.0
oldcount,4,40.0,28.0,79.0
optcount,4,40.0,28.0,79.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.05,3.5714285714285716,3.7088607594936707
perm,4,104.0,98.0,267.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,2.888888888888889,3.769230769230769,3.6575342465753424
perm,4,116.0,102.0,289.0
oldcount,4,34.0,24.0,67.0
optcount,4,34.0,24.0,67.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.411764705882353,4.25,4.313432835820896
perm,4,134.0,120.0,345.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.7222222222222223,4.615384615384615,4.726027397260274
perm,4,140.0,122.0,349.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.888888888888889,4.6923076923076925,4.780821917808219
perm,4,86.0,76.0,215.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,2.388888888888889,2.923076923076923,2.9452054794520546
perm,4,146.0,128.0,365.0
oldcount,4,32.0,24.0,67.0
optcount,4,32.0,24.0,67.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,4.5625,5.333333333333333,5.447761194029851
perm,4,134.0,104.0,309.0
oldcount,4,32.0,24.0,69.0
optcount,4,32.0,24.0,69.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,4.1875,4.333333333333333,4.478260869565218
perm,4,134.0,120.0,347.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.7222222222222223,4.615384615384615,4.7534246575342465
perm,4,110.0,88.0,253.0
oldcount,4,40.0,28.0,79.0
optcount,4,40.0,28.0,79.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,2.75,3.142857142857143,3.2025316455696204
perm,4,134.0,104.0,311.0
oldcount,4,32.0,24.0,67.0
optcount,4,32.0,24.0,67.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,4.1875,4.333333333333333,4.641791044776119
perm,4,110.0,96.0,271.0
oldcount,4,32.0,24.0,69.0
optcount,4,32.0,24.0,69.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.4375,4.0,3.927536231884058
perm,4,104.0,94.0,267.0
oldcount,4,36.0,26.0,73.0
optcount,4,36.0,26.0,73.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,2.888888888888889,3.6153846153846154,3.6575342465753424
perm,4,128.0,114.0,321.0
oldcount,4,40.0,28.0,79.0
optcount,4,40.0,28.0,79.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,3.2,4.071428571428571,4.063291139240507
perm,4,134.0,112.0,327.0
oldcount,4,32.0,24.0,67.0
